"
	JEDNOSTKA LEKCYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
45;"
 Kalkulator";"   zna funkcje podstawowych klawiszy (K)

   rozumie korzyści płynące z umiejętności stosowania kalkulatora do obliczeń (K)

   umie sprawdzić, czy kalkulator zachowuje kolejność działań (P)

   umie wykonać obliczenia za pomocą kalkulatora (K - R)

   umie wykorzystać kalkulator do rozwiązania zadanie tekstowego (P - R)

   umie rozwiązać zadanie, odczytując dane z tabeli i korzystając z kalkulatora (P - R)";"   zna funkcje klawiszy pamięci kalkulatora (R)

   umie wykonać wielodziałaniowe obliczenia za pomocą kalkulatora (D - W)

   umie wykorzystać kalkulator do rozwiązania zadanie tekstowego (D - W)"
"
	46 - 47";"
 Odczytywanie informacji";"   rozumie znaczenie podstawowych symboli występujących w instrukcjach i opisach:

	– diagramów (K)

	– schematów (K)

	– innych rysunków (K)

   umie odczytać dane z:

	– tabeli (K)

	– diagramu (K)
   umie odpowiedzieć na pytanie dotyczące znalezionych danych (K - R)

   umie zinterpretować odczytane dane (P - R)";"   umie odpowiedzieć na pytanie dotyczące znalezionych danych (D - W)

   umie rozwiązać nietypowe zadanie tekstowe, w którym potrzebne informacje należy

	odczytać z tabeli lub schematu (D - W)"
"
	48 - 49";"
 Odczytywanie danych z

 wykresów";"   rozumie zasadę sporządzania wykresów (P)

   umie odczytać dane z wykresu (K - P)

   umie odpowiedzieć na pytanie dotyczące znalezionych danych (K - R)

   umie zinterpretować odczytane dane (P - R)";"   umie porównać informacje oczytane z dwóch wykresów (R - W)

   umie odpowiedzieć na pytanie dotyczące znalezionych danych (D - W)

   umie dopasować wykr es do opisu sytuacji (D- W)

   umie przedstawić dane w postaci wykresu (D)"

;;"   umie przedstawić dane w postaci wykresu (P - R)

   umie porównać informacje oczytane z dwóch wykresów (P - R)";
50;"
 Powtórzenie";;
"
	51 - 52";"
 Praca klasowa i jej omówienie";;
"
	DZIAŁ 4. PRĘDKOŚĆ, DROGA, CZAS (11 h)";;;
"
	53 - 54";"
 Droga";"   umie na podstawie podanej prędkości wyznaczać długość drogi przebytej w

	jednostce czasu (K)

   umie obliczyć drogę, znając stałą prędkość i czas (K - R)

   umie rozwiązać zadanie tekstowe związane z obliczaniem drogi (P - R)";"   umie rozwiązać nietypowe zadanie tekstowe związane z obliczaniem drogi w ruchu

	jednostajnym (D - W)"
"
	55 - 56";"
 Prędkość";"   zna jednostki prędkości (K - P)

   zna i rozumie algorytm zamiany jednostek prędkości (P - D)

   rozumie potrzebę stosowania różnych jednostek prędkości (P)

   umie porównać prędkości dwóch ciał, które przebyły jednakowe drogi w różnych

	czasach (K)
   umie obliczyć prędkość w ruchu jednostajnym, znając drogę i czas (K - P)

   umie zamieniać jednostki prędkości (P - R)

   umie porównać prędkości wyrażane w różnych jednostkach (P - R)

   umie rozwiązać zadanie tekstowe związane z obliczaniem prędkości (P - R)

   umie odczytać prędko ść na podstawie danych przedstawionych w postaci wykresu

	(K - P)";"   umie rozwiązać nietypowe zadanie tekstowe związane z obliczaniem prędkości (R -

	W)

   umie odczytać prędkość na podstawie danych przedstawionych w postaci wykresu

	(R- W)"
"
	57 - 58";"
 Czas";   umie obliczyć czas w ruchu jednostajnym, znając drogę i prędkość (P - R);"   umie rozwiązać zadanie tekstowe związane z obliczaniem czasu (R)

   umie rozwiązać nietypowe zadanie tekstowe związane z obliczaniem czasu (D - W)"
"
	59 - 60";"
 Droga, prędkość, czas";   umie rozwiązać zadanie tekstowe typu prędkość – droga – czas (P - R);   umie rozwiązać nietypowe zadanie tekstowe typu prędkość – droga – czas (D- W)
61;"
 Powtórzenie";;
"
	62 - 63";"
 Praca klasowa i jej omówienie";;
"
	DZIAŁ 5. POLA WIELOKĄTÓW (11 h)";;;
"
	64 - 65";"
 Pole prostokąta";"   zna jednostki miary pola (K)

   zna wzory na obliczanie pola prostokąta i kwadratu (K)

   rozumie pojęcie miary pola jako liczby kwadratów jednostkowych (K)

   rozumie zasadę zamiany jednostek pola (P)

   umie obliczyć pole prostokąta i kwadratu (K)

   umie obliczyć pole kwadratu o danym ob wodzie i odwrotnie (P - R)

   umie obliczyć bok prostokąta, znając jego pole i długość drugiego boku (K - P)

   umie narysować prostokąt o danym polu (P)

   umie rozwiązać zadanie tekstowe związane z polem prostokąta (P - R)

   umie zamienić jednostki pola (P - D)";"   umie obliczyć pole figury jako sumę lub różnicę pól prostokątów (R - D)

   umie rozwiązać nietypowe zadanie tekstowe związane z polem prostokąta (D - W)"
"
	66 - 67";"
 Pole równoległoboku

 i rombu";"   zna wzory na obliczanie pola równoległoboku i rombu (K)

   rozumie wyprowadzenie wzoru na obliczanie pola równoległoboku (P)

   rozumie zależność doboru wzoru na obliczanie pola rombu od danych (K)

   umie obliczyć pole równoległoboku o danej wysokości i podstawie (K)

   umie obliczyć pole rombu o danych przekątnych (K)

   umie obliczyć pole narysowaneg o równoległoboku (K - P)";"   umie obliczyć długość przekątnej rombu, znając jego pole i długość drugiej

	przekątnej (R)
   umie rozwiązać nietypowe zadanie tekstowe związane z polem rów noległoboku i

	rombu (D- W)"

;;"   umie narysować równoległobok o danym polu (P)

   umie obliczyć wysokość równoległoboku, znając jego pole i długość podstawy, na

	którą opuszczona jest ta wysokość (P - R)

   umie rozwiązać zadanie tekstowe związane z polem równoległoboku i rombu (P - R)

   umie obliczyć długość przekątnej rombu, znając jego pole i długość drugiej

	przekątnej (P - R)";
"
	68 - 69";"
 Pole trójkąta";"   zna wzór na obliczanie pola trójkąta (K)

   rozumie wyprowadzenie wzoru na obliczanie pola trójkąta (P)

   umie obliczyć pole trójkąta o danej wysokości i podstawie (K)

   umie obliczyć pole narysowanego trójkąta (K - R)

   umie rozwiązać zadanie tekstowe związane z polem trójkąta (P - R)";"   umie obliczyć wysokości trójkąta, znając długość podstawy, na którą opuszczona jest

	ta wysokość i pole trójkąta (R - D)

   umie podzielić trójkąt na części o równych polach (R - D)

   umie obliczy ć pole figury jako sumę lub różnicę pól trójkątów i czworokątów (R - W)

   umie rozwiązać nietypowe zadanie tekstowe związane z polem trójkąta (D - W)"
"
	70 - 71";"
 Pole trapezu";"   zna wzór na obliczanie pola trapezu (K)

   rozumie wyprowadzenie wzoru na obliczanie pola trapezu (P)

   umie obliczyć pole trapezu, mając dane długości podstaw i wysokość (K)

   umie obliczyć pole narysowanego trapezu (K - R)

   umie rozwiązać zadanie tekstowe związane z polem trapezu (P - R)";"   umie podzielić trapez na części o równych polach (D - W)

   umie rozw iązać nietypowe zadanie tekstowe związane z polem trapezu (D - W)

   umie obliczyć pole figury jako sumę lub różnicę pól znanych wielokątów (R - W)"
72;"
 Powtórzenie";;
"
	73 - 74";"
 Praca klasowa i jej omówienie";;
"
	DZIAŁ 6. PROCENTY (1 7 h)";;;
"
	75 - 76";"
 Procenty i ułamki";"   zna pojęcie procentu (K)

   rozumie potrzebę stosowania procentów w życiu codziennym (K)

   umie określić w procentach, jaką część figury zacieniowano (K - P)

   umie zamienić procent na ułamek (K -R)

   umie wyrazić informacje podane za pomocą procentów w ułamkach i odwrotn ie (P -

	R)

   umie porównać dwie liczby, z których jedna jest zapisana w postaci procentu (P - R)

   umie rozwiązać zadanie tekstowe związane z procentami (P - R)";"   umie rozwiązać nietypowe zadanie tekstowe związane z ułamkami i procentami (D -

	W)"
"
	77 - 78";"
 Jaki to procent?";"   zna algorytm zamiany ułamków na procenty (K - P)

   rozumie równoważność wyrażania części liczby ułamkiem lub procentem (P)

   umie opisywać w procentach części skończonych zbiorów (K - R)

   umie zamienić ułamek na procent (K - R)

   umie określić, jakim procentem jednej liczby jest druga (P - R)

   umie rozwiązać zadanie tekstowe związane z określeniem, jakim procentem jednej

	liczby jest druga (P - R)";"   umie rozwiązać nietypowe zadanie tekstowe związane z określeniem, jakim

	procentem jednej liczby jest druga (D - W)"
