"
	JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
	60 - 62";"
 VAT i inne podatki";"  zna i rozumie pojęcie podatku (K)

  zna pojęcia: cena netto , cena brutto (K)

  rozumie pojęcie podatku VAT (K -P)

  umie obliczyć wartość podatku VAT oraz cenę brutto dla danej stawki VAT (K - P)

  umie obliczyć podatek od wynagrodzenia (K - P)

  umie obliczyć cenę netto, znając cenę brutto oraz VAT (P)";"  umie wykonać obliczenia w różnych sytuacjach praktycznych, operuje procentami (R -

	D)

  umie rozwiązać zadania tekstowe związane z obliczaniem różnych podatków (R - W)"
"
	63 - 64";"
 Czytanie diagramów";"  zna pojęcie diagramu (K)

  rozumie pojęcie diagramu (K)

  umie odczytać informacje przedstawion e na diagramie (K)

  umie analizować informacje odczytane z diagramu (P)

  umie przetwarzać informacje odczytane z diagramu (P)

  umie interpretować informacje odczytane z diagramu (K - P)

  umie wykorzystać informacje w praktyce (K - P)";"  umie porównać informacje odczy tane z różnych diagramów (R)

  umie analizować informacje odczytane z różnych diagramów (R - W)

  umie przetwarzać informacje odczytane z różnych diagramów (R - W)

  umie interpretować informacje odczytane z różnych diagramów (R -W)

  umie wykorzystać informacje w prak tyce (R- W)"
"
	65 - 66";"
 Podział proporcjonalny";"  zna pojęcie podziału proporcjonalnego (K)

  umie podzielić daną wielkość na dwie części w zadanym stosunku (P)

  umie ułożyć proporcję odpowiednią do warunków zadania (P - R)

  umie rozwiązać proste zadania związane z podzi ałem proporcjonalnym (P -R)";"  umie podzielić daną wielkość na kilka części w zadanym stosunku (R - D)

  umie rozwiązać zadania związane z podziałem proporcjonalnym w kontekście

	praktycznym (R- D)
  umie obliczyć wielkość, znając jej część oraz stosunek, w jakim ją podzielono (R - D)"
"
	67 - 69";"
 Obliczanie

 prawdopodobieństw";"  zna pojęcie zdarzenia losowego (K)

  zna wzór na obliczanie prawdopodobieństwa (K)

  umie określić zdarzenia losowe w doświadczeniu (K - P)

  umie obliczyć prawdopodobieństwo zdarzenia (P)";"  zna pojęcie prawdopodobieństwa zdarzenia losowego (R)

  umie określić zdarzenia losowe w doświadczeniu (R)

  umie obliczyć prawdopodobieństwo zdarzenia (R - W)"
"
	70 - 72";"
 Odczytywanie wykresów";"  rozumie wykres jako sposób prezentacji informacji (K)

  umie odczytać informacje z wykresu (K)";"  um ie interpretować informacje odczytane z wykresu (R - W)

  umie interpretować informacje z kilku wykresów narysowanych"

;;"  um ie interpretować informacje odczytane z wykresu (P)

  umie odczytać i porównać informacje z kilku wykresów narysowanych w jednym układzie

	współrzędnych (P - R)
  umie interpretować informacje z kilku wykresów narysowanych w jednym układzie

	współrzędnych (P - R)";"
	w jednym lub kilku układach współrzędnych (R- D)"
73;"
 Powtórzenie";;
"
	74 - 75";"
 Praca klasowa i jej omówienie";;
"
	DZIAŁ 5. GRANIASTOSŁUPY I OSTROSŁUPY (1 6 h)";;;
